
== sample-plan.pdf @ 1/4" (2448x1584 img px, 36 mask px/ft) ==
   436.2 SF     86.4 LF  (bbox 86.4 LF, x1.00)  verts=  4  (216,108)pt
   436.2 SF     86.4 LF  (bbox 86.4 LF, x1.00)  verts=  4  (648,108)pt
   436.2 SF     86.4 LF  (bbox 86.4 LF, x1.00)  verts=  4  (216,432)pt
   436.2 SF     86.4 LF  (bbox 86.4 LF, x1.00)  verts=  4  (648,432)pt
rooms: 4, with door-swing inclusion: 0, sealed: 0, perim anomalies: 0

== e2e fixture @ 1/4" (1584x1224 img px, 36 mask px/ft) ==
   118.8 SF     43.8 LF  (bbox 43.8 LF, x1.00)  verts=  4  (108,216)pt
   118.8 SF     43.8 LF  (bbox 43.8 LF, x1.00)  verts=  4 sealed@64  (324,216)pt
   118.8 SF     43.8 LF  (bbox 43.8 LF, x1.00)  verts=  4  +swing sealed@64  (540,216)pt
rooms: 3, with door-swing inclusion: 1, sealed: 2, perim anomalies: 0

== VA finish plan @ 1/8" (assumed) (6048x4320 img px, 9 mask px/ft) ==
  2418.0 SF    198.0 LF  (bbox 198.0 LF, x1.00)  verts=  4  (2538,702)pt
  2418.0 SF    198.0 LF  (bbox 198.0 LF, x1.00)  verts=  4  (2592,918)pt
  2418.0 SF    198.0 LF  (bbox 198.0 LF, x1.00)  verts=  4  (2619,918)pt
  2418.0 SF    198.0 LF  (bbox 198.0 LF, x1.00)  verts=  4  (2646,918)pt
  2418.0 SF    198.0 LF  (bbox 198.0 LF, x1.00)  verts=  4  (2673,918)pt
  2418.0 SF    198.0 LF  (bbox 198.0 LF, x1.00)  verts=  4  (2700,918)pt
  2418.0 SF    198.0 LF  (bbox 198.0 LF, x1.00)  verts=  4  (2727,918)pt
  2418.0 SF    198.0 LF  (bbox 198.0 LF, x1.00)  verts=  4  (2754,918)pt
  2418.0 SF    198.0 LF  (bbox 198.0 LF, x1.00)  verts=  4  (2781,918)pt
  2418.0 SF    198.0 LF  (bbox 198.0 LF, x1.00)  verts=  4  (2808,918)pt
  2418.0 SF    198.0 LF  (bbox 198.0 LF, x1.00)  verts=  4  (2835,918)pt
  2418.0 SF    198.0 LF  (bbox 198.0 LF, x1.00)  verts=  4  (2862,918)pt
  2418.0 SF    198.0 LF  (bbox 198.0 LF, x1.00)  verts=  4  (2889,918)pt
  2418.0 SF    198.0 LF  (bbox 198.0 LF, x1.00)  verts=  4  (2592,1161)pt
  2418.0 SF    198.0 LF  (bbox 198.0 LF, x1.00)  verts=  4  (2619,1161)pt
  2418.0 SF    198.0 LF  (bbox 198.0 LF, x1.00)  verts=  4  (2646,1161)pt
  2418.0 SF    198.0 LF  (bbox 198.0 LF, x1.00)  verts=  4  (2673,1161)pt
